action,efficacy,from
명상,"이완, 혈액순환, 원활, 면역력 증가, 심신 안정, 스트레스 완화, 감정 조절, 수면 개선, ",https://meditationwiki.net/wiki/%EB%AA%85%EC%83%81_%ED%9A%A8%EA%B3%BC
운동,"체중 조절, 기분 전환 및 정신건강 증진 , 당뇨병과 대사 증후권 위험 감소, 뼈와 근육 강화, 일부 암 발생 위험 감소
",http://hqcenter.snu.ac.kr/archives/jiphyunjeon/%EC%9A%B4%EB%8F%99%EC%9D%98-%ED%9A%A8%EA%B3%BC
산책,"숙면에 도움, 수명 증가, 치매 예방, 몸매 유지, 스트레스 해소",https://wonderfulmind.co.kr/benefits-taking-walks-science/
수면,"피부 관리, 고혈압 예방, 면역력 증진 , 건선 증상 완화 , 심장 질환 예방",https://m.post.naver.com/viewer/postView.naver?volumeNo=7159879&memberNo=36548579
독서,"기억력 향상, 사고력 향상, 사회적 참여 촉진, 수면 도움 , 인지 능력 유연성 향상",https://parisunni-75.tistory.com/144
영화,영화는 우리에게 다양한 아이디어의 소스를 제공해줍니다. 대리만족과 공감을 할 수 있다는 것입니다. 영화를 통해 우리는 휴식과 정서적 이완을 할 수 있다는 것입니다. ,https://m.post.naver.com/viewer/postView.naver?volumeNo=11610017&memberNo=15671802
취미,"정신을 맑게 한다, 신감을 갖게 한다, 뇌를 건강하게 한다, 스트레스를 퇴치한다, 직업 이력을 향상시킨다, 사회적 유대감을 강화시킨다",http://kormedi.com/1215973/%EC%B7%A8%EB%AF%B8%ED%99%9C%EB%8F%99%EC%9D%B4-%EC%A3%BC%EB%8A%94-%EA%B1%B4%EA%B0%95%ED%95%9C-%ED%9A%A8%EA%B3%BC-6%EA%B0%80%EC%A7%80/
요리,,
여행,,
식사,,
목욕,,
등상,,
