,행복,행복count,행복sims,열정,열정count,열정sims,두려움,두려움count,두려움sims,분노,분노count,분노sims,우울,우울count,우울sims,슬픔,슬픔count,슬픔sims
0,긍정,7,0.30051466822624207,목표,9,0.15401548147201538,두려움,12,1.0,일,9,-0.08750846982002258,당신,13,0.25218403339385986,사람,12,0.3719998300075531
1,생각,7,0.36211466789245605,시간,9,0.16570159792900085,되다,12,0.0,마음,9,0.4584367275238037,우울증,10,0.5518814325332642,슬픔,7,1.0
2,경험,6,0.359052836894989,열정,8,1.0,치료,8,0.21778614819049835,명상,9,0.048890840262174606,사람,9,0.20017942786216736,되다,6,0.0
3,사람,3,0.3401772379875183,생각,8,0.27886244654655457,박사,6,-0.11693467199802399,뇌,8,0.10792633146047592,되다,7,0.0,시간,4,0.14043645560741425
4,기쁨,3,0.6493781805038452,상태,8,0.016050444915890694,말,6,0.27205175161361694,감정,8,0.36159005761146545,더,5,0.0555250383913517,극복,4,0.20303544402122498
5,자신,2,0.3778485655784607,사람,8,0.2953539192676544,사람,4,0.3867916762828827,되다,8,0.0,말,4,0.1385309100151062,우리,4,0.3208942413330078
6,기울이다,2,0.0,지속,7,0.08086742460727692,공포,4,0.4371495842933655,않다,7,0.0,생각,4,0.26248788833618164,죽음,4,0.6214146614074707
7,노력,2,0.3624582290649414,위해,6,-0.04539503902196884,감정,4,0.6030389070510864,부정,6,0.21968814730644226,그것,4,0.24335914850234985,감정,4,0.5705320239067078
8,일,2,-0.03513184189796448,되다,5,0.0,느끼다,4,0.0,더,6,0.04636682569980621,극복,3,0.35774198174476624,데,3,0.04297592490911484
9,시키다,2,0.0,지도,5,0.08718980848789215,스턴,4,0.148484006524086,받다,5,0.0,위,3,-0.06805585324764252,다른,3,0.09898513555526733
10,음미,2,0.0,않다,4,0.0,고,4,0.2117931991815567,상처,5,0.4168386459350586,자신,3,0.24320170283317566,기억,3,0.4469403028488159
11,와인,2,0.008964169770479202,향,4,-0.009756170213222504,효과,4,0.21386924386024475,경험,5,0.20424994826316833,스스로,3,0.0470140278339386,삶,3,0.5163225531578064
12,순간,2,0.17104414105415344,위,4,-0.02196861431002617,위해,3,0.021997421979904175,챙기다,5,0.0,만들다,3,0.0,계속,3,0.09775562584400177
13,즐거움,2,0.6396492719650269,힘,4,0.41185271739959717,노력,3,0.262338250875473,코르티솔,4,0.0,목표,3,0.06708890199661255,증상,2,0.3805390000343323
14,축복,2,0.3982848525047302,날,4,0.08325286209583282,자신,3,0.4015524983406067,나다,4,0.0,방법,3,0.10252310335636139,신체,2,0.22177252173423767
15,감사하다,2,0.0,계획,4,0.08198544383049011,도움,3,0.20667621493339539,보다,4,-0.03879743814468384,명상,3,0.23507864773273468,점,2,0.12833192944526672
16,여기,2,0.1403767317533493,해도,4,-0.003661409020423889,생각,3,0.3447737395763397,생각,4,0.31862303614616394,슬픔,2,0.5679877996444702,감퇴,2,0.17204353213310242
17,부정,2,0.17350110411643982,일,4,-0.05356314033269882,인지,3,0.26545995473861694,분노,3,1.0,가지다,2,0.0,걸리다,2,0.0
18,업무,1,0.037860892713069916,나,4,0.011201992630958557,위험,2,0.5170859098434448,자기,3,0.2124568372964859,둘러싸다,2,0.0,기도,2,0.17064879834651947
19,성과,1,0.11305443942546844,자신,4,0.35417312383651733,상황,2,0.33603620529174805,스트레스,3,0.27501556277275085,또,2,0.11857900023460388,생각,2,0.2552761733531952
20,발표,1,0.06902220100164413,곳,4,0.10707267373800278,극복,2,0.22164234519004822,분비,3,0.19377191364765167,삶,2,0.30540233850479126,고통,2,0.6394879817962646
21,사건,1,-0.04627397283911705,마음,4,0.4701457917690277,위,2,-0.08547639846801758,때문,3,-0.02242119610309601,찾다,2,0.0,점점,2,0.22055110335350037
22,다른,1,0.14713498950004578,속,3,0.08551833778619766,방향,2,0.04207407310605049,시작,3,-0.029388239607214928,일상,2,0.29623788595199585,이기다,2,0.0
23,얼마나,1,0.14955978095531464,불씨,3,0.03221176564693451,경험,2,0.397708535194397,느끼다,3,0.0,동기,2,0.19584286212921143,사랑,2,0.7216663360595703
24,인상,1,0.2748550772666931,두다,3,0.0,부정,2,0.22135859727859497,말,3,0.14180392026901245,습관,2,0.2634420692920685,나,2,0.09279035776853561
25,받다,1,0.0,숙면,3,0.0,않다,2,0.0,우리,3,0.16658072173595428,바꾸다,2,0.0,해주다,2,0.0
26,되새기다,1,0.0,보내다,3,0.0,재다,2,0.0,떠오르다,3,0.0,보내다,2,0.0,인생,2,0.5983741283416748
27,결과,1,0.04638199508190155,억지로,3,-0.09221430867910385,몸,2,0.38289597630500793,두다,3,0.0,실수,2,0.14864276349544525,습관,2,0.35089313983917236
28,위해,1,0.028802212327718735,그냥,3,-0.00746174156665802,알다,2,0.0,의식,3,0.16836777329444885,시작,2,0.04012962430715561,정서,1,0.317807137966156
29,돌아보다,1,0.0,느끼다,3,0.0,정보,2,0.09527327120304108,힘,3,0.2990064024925232,인지,2,0.2476212978363037,알,1,0.08363214880228043
30,격려,1,0.29078972339630127,에너지,3,0.10978905111551285,숨,2,0.21563082933425903,피질,3,-0.022462910041213036,크다,2,0.0,비탄,1,0.7297681570053101
31,축하,1,0.27980226278305054,매일,3,0.12475328892469406,쉬다,2,0.0,작용,3,0.14590367674827576,알,2,0.06152818351984024,겪다,1,0.0
32,크게,1,0.0,해보다,3,0.0,호흡,2,0.20547336339950562,주,3,0.061157576739788055,깨다,2,0.0,피로,1,0.3888762593269348
33,웃다,1,0.0,무언가,3,0.16846513748168945,방법,2,0.13703972101211548,앉다,3,0.0,하루,2,0.19837459921836853,식욕,1,0.4361981153488159
34,노래,1,0.31028375029563904,빼다,3,0.0,차단,2,0.15933826565742493,호르몬,2,0.015710879117250443,마치,2,-0.0036805327981710434,성욕,1,0.48097553849220276
35,부르다,1,0.0,몰입,3,0.38324862718582153,보다,2,0.021450579166412354,따르다,2,0.0,즉,2,0.1418333351612091,시달리다,1,0.0
36,적극,1,-0.06527917832136154,메모,3,-0.016987377777695656,맞서다,2,0.0,들여다보다,2,0.0,내다,2,0.0,가장,1,-0.011487171053886414
37,신체,1,0.21406342089176178,가지,2,0.14717663824558258,스스로,2,0.3016606271266937,안,2,0.016807066276669502,자다,2,0.0,그것,1,0.3030850291252136
38,행동,1,0.3206459879875183,말,2,0.10736389458179474,자다,2,0.0,열등감,2,0.34286487102508545,다른,2,0.16512832045555115,더,1,0.02088986337184906
39,표,1,-0.06084529682993889,순간,2,0.18547265231609344,나,2,0.1599668711423874,건데,2,0.0,두다,2,0.0,떠나다,1,0.0
40,추다,1,0.0,유지,2,0.029996465891599655,노출,2,0.19731873273849487,심리,2,0.16325730085372925,시키다,2,0.0,이제,1,0.158311665058136
41,감정,1,0.38214632868766785,정신,2,0.4470897316932678,기다,2,0.0,이상,2,-0.06521596014499664,산화,2,0.11225801706314087,살다,1,0.0
42,증폭,1,-0.017399955540895462,몸,2,0.28559842705726624,약,2,-0.13362616300582886,편도체,2,0.0,보호,2,0.014002878218889236,들다,1,0.0
43,축구선수,1,0.0,동시,2,0.13680943846702576,처방,2,0.12810896337032318,해마,2,-0.08398060500621796,세로토닌,2,0.20450368523597717,뒤,1,0.07384725660085678
44,골,1,-0.08111420273780823,나가다,2,0.0,우리,1,0.286906898021698,자극,2,0.31230440735816956,식단,2,0.08243075013160706,찾아오다,1,0.0
45,넣다,1,0.0,데,2,0.07464989274740219,일으키다,1,0.0,못,2,0.1680133193731308,가지,2,0.19348175823688507,피,1,0.09420998394489288
46,세리머니,1,0.0,실행,2,-0.08713258802890778,요인,1,0.28930768370628357,끌다,2,0.0,우선,2,-0.02793867141008377,길이,1,0.00040490180253982544
47,통해,1,0.0026113111525774,생기다,2,0.0,엘리베이터,1,-0.10027056932449341,모으다,2,0.0,돕다,2,0.0,때문,1,0.022580400109291077
48,만끽,1,0.336373507976532,이루다,2,0.0,타다,1,0.0,적,2,-0.03224353492259979,흥미,1,0.21176011860370636,일반,1,-0.0914989560842514
49,주의,1,0.1054919958114624,욕망,2,0.6357133984565735,꺼리다,1,0.0,별것,2,0.0,상실,1,0.26884758472442627,과정,1,0.02196628972887993
50,세부,1,-0.07011424750089645,인생,2,0.5568121671676636,바늘,1,0.09972832351922989,화,2,0.025313101708889008,무관심,1,0.4599926471710205,낼,1,0.0
51,내용,1,0.2248937338590622,신체,2,0.19437387585639954,대상,1,0.18700090050697327,반응,2,0.3470968008041382,세,1,-0.04598431661725044,원인,1,0.1825052797794342
52,요소,1,0.1424390971660614,필수,2,0.033182255923748016,피하,1,0.158850759267807,창고,2,0.02384147420525551,환자,1,0.22107604146003723,돌리다,1,0.0
53,애호가,1,0.14098969101905823,주다,2,0.0,도록,1,0.05057738348841667,또,2,-0.0891420841217041,어,1,0.020548462867736816,억제,1,-0.027054011821746826
54,모금,1,0.18192313611507416,자체,2,0.11502359807491302,동기,1,0.16589470207691193,이르다,2,0.0,두운,1,0.0,말,1,0.2629944086074829
55,금은,1,-0.06841032952070236,기도,2,0.11393869668245316,부여,1,-0.017023442313075066,겁니다,2,0.0,삼각형,1,0.026615425944328308,부재,1,-0.008921466767787933
56,채,1,-0.010708970949053764,행복감,2,0.0,고안,1,-0.17128336429595947,점,2,0.013987690210342407,형성,1,0.12196926772594452,들어주다,1,0.0
57,해당,1,-0.0001423358917236328,과정,2,0.12401051819324493,인간,1,0.4286379814147949,통해,2,-0.09998497366905212,함정,1,0.11531625688076019,공유,1,-0.00612621009349823
58,다시,1,0.0013903696089982986,정도,2,0.08695587515830994,기본,1,-0.07551492005586624,오른쪽,2,0.007520405575633049,빠뜨리다,1,0.0,일어나다,1,0.0
59,돌아오다,1,0.0,자다,2,0.0,일상,1,0.2250884771347046,감,2,0.0534902848303318,헤메,1,0.0,이야기,1,0.4129025936126709
60,않다,1,0.0,시키다,2,0.0,생활,1,0.1824633628129959,사실,2,0.18741419911384583,좌절,1,0.2753894329071045,나누다,1,0.0
61,현재,1,-0.09554862231016159,보다,2,0.09019307047128677,피,1,0.00835268385708332,왼쪽,2,0.022320957854390144,그물,1,0.10964449495077133,받아들이다,1,0.0
62,즐기다,1,0.0,하나,2,0.003120379988104105,건강,1,0.24280840158462524,낙천,2,0.1306954324245453,걸리다,1,0.0,방법,1,0.02822702005505562
63,강도,1,-0.08424504101276398,인간,2,0.35965341329574585,경우,1,0.09372518211603165,반구,2,-0.07181232422590256,열쇠,1,-0.029155224561691284,일,1,0.003375033847987652
64,행운,1,0.5211648941040039,지르다,2,0.0,이르다,1,0.0,호흡,2,0.04116691276431084,넘겨주다,1,0.0,나다,1,0.0
