행동,에너지,회복,순환,정화
명상,0.3594112038612366,0.5084586679935456,0.37517571449279785,0.3644630789756775
산책,0.3191549003124237,0.5404308199882507,0.46498067378997804,0.5500280737876893
등산,0.33099071979522704,0.4326117992401123,0.4640819191932678,0.32939586639404295
샤워,0.24121057093143464,0.31694872975349425,0.34631635546684264,0.285008630156517
수영,0.3560641288757324,0.5293255507946014,0.3585472643375397,0.24703370332717894
조깅,0.2716947734355927,0.4269477963447571,0.4283603847026825,0.2512071132659912
자전거 타기,0.3225271612405777,0.25729331374168396,0.35832465887069703,0.17749807834625245
요가,0.295577746629715,0.3742298066616058,0.4277563512325287,0.3689022362232208
스트레칭,0.2719155788421631,0.366607004404068,0.42432560920715334,0.4439598023891449
여행,0.3055151253938675,0.2880797326564789,0.26257681250572207,0.3176483929157257
